% Model:              EXAMPLE004.mph
% Version:            COMSOL 5.3.0.223
% Date:               Nov 6 2018, 11:34
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         293.15
1                         293.1522056715387
2                         293.26449995841153
3                         294.9599793446969
4                         299.11653851989837
5                         305.42438213577725
6                         312.6019039861549
7                         318.10260882805903
8                         323.3620737820708
9                         326.39311122134256
10                        329.2697186621125
11                        330.6684336535801
12                        331.95296214010034
13                        332.40012292367226
14                        332.8472837072442
15                        333.25650873991106
16                        333.3875382659404
17                        333.5185677919698
18                        333.6386770891025
19                        333.67870470765916
20                        333.71873232621584
21                        333.75607772956977
22                        333.7737535547699
23                        333.79142937996994
24                        333.80776973564804
25                        333.81431664816466
26                        333.8208635606814
27                        333.82690425956673
28                        333.8292327251551
29                        333.8315611907435
30                        333.8336943719192
